user,total_emails,external_emails,attachments_sent,bcc_in_email,avg_email_size
AAE0190,2,0,0,0,233.21
AAF0535,3,0,0,0,252.47
AAF0791,2,0,0,0,165.35
AAL0706,2,0,0,0,63.81
AAM0658,4,0,0,0,156.62
AAN0823,3,0,0,0,227.23
AAS0442,2,0,0,0,82.66
AAV0450,4,0,0,0,291.8
AAW0353,2,0,0,0,94.92
ABC0174,2,0,0,0,108.18
ABC0253,2,0,0,0,245.52
ABH0663,3,0,0,0,138.93
ABM0845,2,0,0,0,199.43
ABN0239,3,0,0,0,73.9
ACC0042,2,0,0,0,166.22
ACV0812,2,0,0,0,274.47
ADC0391,5,0,0,0,179.44
ADD0846,37,7,10,0,188.63
ADF0397,4,0,0,0,175.57
AES0827,2,0,0,0,136.5
AGB0186,5,0,0,0,65.68
AGB0643,2,0,0,0,171.53
AHC0142,2,0,0,0,275.92
AHD0848,2,0,0,0,124.94
AHG0634,2,0,0,0,105.11
AHM0410,2,0,0,0,278.25
AIB0948,3,0,0,0,289.72
AIH0675,2,0,0,0,182.47
AIM0627,3,0,0,0,79.47
AIP0394,2,0,0,0,170.46
AIP0982,3,0,0,0,235.16
AIS0405,2,0,0,0,120.14
AJC0840,46,8,2,2,146.22
AJD0074,2,0,0,0,232.97
AJF0370,2,0,0,0,81.12
AJH0175,3,0,0,0,103.71
AJL0462,2,0,0,0,77.67
AJN0607,2,0,0,0,274.07
AJP0723,4,0,1,0,215.24
AJR0319,5,0,0,0,214.63
AJR0932,2,0,0,0,237.71
AKC0924,2,0,0,0,56.22
AKF0709,2,0,0,0,281.08
AKH0758,2,0,0,0,190.17
AKK0329,2,0,0,0,164.0
AKR0057,3,0,0,0,86.78
AKW0167,4,0,0,0,174.22
ALB0892,4,0,0,0,271.65
ALC0788,3,0,0,0,230.41
ALD0529,2,0,0,0,129.12
ALD0544,2,0,0,0,102.23
ALH0402,2,0,0,0,183.17
AMD0077,4,0,0,0,102.33
AMH0464,2,0,0,0,74.03
AMH0794,4,0,0,0,104.65
AMJ0297,2,0,0,0,148.79
AMM0014,4,0,0,0,293.51
AMR0318,2,0,0,0,297.52
AMR0400,2,0,0,0,153.82
AMV0036,3,0,0,0,192.92
AMW0392,3,0,0,0,137.76
ANM0123,54,10,4,4,228.56
ANP0555,32,6,3,1,82.24
ANT0430,5,0,0,0,245.53
AOB0019,5,0,0,0,101.24
AOK0844,2,0,0,0,166.58
AOS0987,4,0,0,0,100.04
APG0307,2,0,0,0,231.35
AQD0820,2,0,0,0,56.23
ARA0252,47,7,10,3,97.68
ARB0834,2,0,0,0,111.47
ARB0881,3,0,0,0,135.5
ARD0509,3,0,0,0,231.84
ARL0034,2,0,0,0,120.01
ASB0796,2,0,0,0,143.82
ASD0577,2,0,0,0,261.56
ASG0048,2,0,0,0,85.6
ASG0692,2,0,0,0,91.27
ASL0378,2,0,0,0,77.82
ASM0575,2,0,0,0,114.76
ASS0206,4,0,0,0,162.24
ASS0517,2,0,0,0,141.59
ASV0946,2,0,0,0,205.09
ATE0869,3,0,0,0,123.09
ATF0274,2,0,0,0,83.7
ATP0662,2,0,0,0,194.62
AVM0947,3,0,0,0,215.81
AWM0764,2,0,0,0,188.06
BAH0875,2,0,0,0,79.7
BAJ0654,4,0,0,0,52.6
BAK0964,2,0,0,0,150.81
BAL0044,2,0,0,0,128.94
BAM0611,7,1,1,0,155.14
BAM0636,3,0,0,0,220.8
BBG0325,5,1,1,0,161.0
BBH0810,2,0,0,0,128.32
BBS0039,4,0,0,0,93.74
BBS0422,2,0,0,0,155.38
BCB0679,3,0,0,0,65.56
BCM0653,2,0,0,0,229.45
BCR0581,2,0,0,0,69.6
BDB0453,3,0,0,0,77.97
BDI0533,5,1,0,0,288.73
BDV0168,2,0,0,0,95.09
BEC0505,2,0,0,0,60.55
BEH0615,2,0,0,0,283.51
BER0314,2,0,0,0,64.82
BHC0665,2,0,0,0,83.1
BHW0458,9,1,1,0,123.82
BIH0745,3,0,0,0,78.9
BIS0247,2,0,0,0,270.19
BJH0354,3,0,0,0,194.1
BJH0811,2,0,0,0,54.46
BJM0111,2,0,0,0,278.02
BJP0134,2,0,0,0,153.13
BJW0619,2,0,0,0,159.11
BKW0374,4,0,0,0,254.36
BLB0114,2,0,0,0,83.61
BLL0929,2,0,0,0,126.06
BLS0678,5,0,0,0,259.29
BMC0547,3,0,0,0,152.97
BMG0917,5,0,0,0,296.99
BMM0112,2,0,0,0,176.6
BMS0877,2,0,0,0,204.84
BMT0528,35,2,10,0,88.9
BNG0237,5,1,0,0,64.43
BNR0965,5,0,0,0,187.57
BQS0525,3,0,0,0,263.79
BRB0355,3,0,0,0,198.86
BRM0995,5,0,0,0,245.94
BRS0734,41,2,3,1,197.48
BSA0431,47,11,3,3,109.32
BSB0990,3,0,0,0,198.04
BSH0445,2,0,0,0,229.71
BSS0369,2,0,0,0,131.79
BSS0463,4,0,0,0,128.51
BTL0226,2,0,0,0,117.53
BTL0722,4,0,0,0,132.69
BTN0061,5,1,0,0,85.11
BTR0403,2,0,0,0,55.7
BTS0011,2,0,0,0,229.61
BTW0005,2,0,0,0,67.52
BVC0790,3,0,0,0,188.39
BVN0514,2,0,0,0,62.69
BWH0813,67,7,6,0,214.89
BWP0202,2,0,0,0,225.0
BXJ0010,3,0,0,0,269.24
BYP0070,2,0,0,0,90.69
CAA0612,2,0,0,0,62.06
CAB0388,3,0,0,0,55.49
CAB0614,2,0,0,0,132.01
CAC0889,3,0,0,0,80.62
CAH0936,2,0,0,0,213.46
CAM0102,2,0,0,0,136.55
CAM0681,79,10,9,2,212.8
CAN0842,5,0,0,0,293.33
CAS0507,3,0,0,0,244.61
CBB0365,4,0,0,0,289.96
CBG0398,2,0,0,0,100.73
CBG0490,2,0,0,0,230.07
CCA0046,2,0,0,0,155.51
CCC0393,2,0,0,0,272.95
CCH0182,3,0,0,0,206.77
CCH0685,2,0,0,0,71.07
CCL0068,2,0,0,0,262.7
CCM0136,2,0,0,0,165.71
CCM0467,3,0,0,0,212.43
CCM0855,3,0,0,0,107.73
CCR0863,2,0,0,0,224.87
CCW0031,3,0,0,0,216.19
CCW0524,2,0,0,0,175.51
CEB0210,2,0,0,0,222.86
CEJ0109,4,0,0,0,54.45
CEL0561,2,0,0,0,262.82
CFG0959,2,0,0,0,208.27
CFM0767,2,0,0,0,190.66
CFW0264,2,0,0,0,55.74
CGA0629,2,0,0,0,207.82
CGB0637,5,0,1,0,204.65
CGF0337,2,0,0,0,288.77
CHG0146,5,0,0,0,179.28
CHM0821,5,0,0,0,207.9
CIG0052,2,0,0,0,147.69
CIM0271,3,0,0,0,156.02
CIM0926,2,0,0,0,98.92
CJC0494,5,0,1,0,89.31
CJF0802,3,0,0,0,286.89
CJG0470,2,0,0,0,80.1
CJH0702,2,0,0,0,205.86
CJK0200,3,0,0,0,52.02
CJM0138,3,0,0,0,291.41
CJM0521,2,0,0,0,297.83
CJP0952,2,0,0,0,197.07
CJV0286,2,0,0,0,226.64
CKB0427,4,0,1,0,210.75
CKB0482,4,0,0,0,164.38
CKD0680,3,0,0,0,161.23
CKH0144,3,0,0,0,164.42
CKP0721,2,0,0,0,154.0
CLB0774,5,1,0,0,136.48
CLD0894,5,0,0,0,132.48
CLF0852,2,0,0,0,103.95
CLH0703,2,0,0,0,279.64
CLS0296,5,0,0,0,257.16
CMB0912,2,0,0,0,257.95
CMM0487,2,0,0,0,153.04
CMS0454,4,0,0,0,261.77
CMW0783,3,0,0,0,122.3
CNB0900,2,0,0,0,154.45
CNE0352,5,0,0,0,52.4
CNM0800,2,0,0,0,89.24
COF0120,39,9,2,2,137.55
COM0321,2,0,0,0,125.05
CPG0322,5,1,0,0,212.65
CQH0701,3,0,0,0,126.28
CQH0730,8,0,0,0,150.22
CQW0652,2,0,0,0,281.66
CRD0624,4,0,0,0,61.63
CRK0916,2,0,0,0,250.24
CRO0027,4,0,0,0,228.18
CRP0456,3,0,0,0,112.19
CSB0080,2,0,0,0,209.3
CSC0217,3,0,0,0,76.14
CSH0626,2,0,0,0,70.35
CSJ0340,2,0,0,0,87.94
CSL0949,3,0,0,0,270.8
CSP0197,2,0,0,0,287.15
CTA0020,54,6,9,0,84.72
CTR0341,2,0,0,0,107.56
CTR0697,2,0,0,0,224.8
CTW0500,3,0,0,0,94.23
CUD0795,2,0,0,0,136.65
CWB0065,9,0,0,0,107.88
CWR0502,8,1,0,0,254.11
CXC0336,49,2,6,0,297.05
CYA0506,3,0,0,0,252.34
DAG0558,2,0,0,0,177.97
DAL0673,2,0,0,0,216.27
DAR0885,2,0,0,0,70.75
DBB0384,2,0,0,0,123.73
DBG0261,86,8,24,4,292.13
DBS0235,2,0,0,0,131.92
DBW0483,2,0,0,0,72.8
DCC0160,45,2,9,1,213.62
DCH0843,3,0,0,0,242.54
DDA0476,2,0,0,0,91.85
DDM0579,2,0,0,0,117.64
DEB0782,3,0,0,0,60.57
DFH0188,3,0,0,0,76.71
DFR0218,2,0,0,0,233.33
DGF0443,53,4,7,3,77.06
DGM0754,4,0,0,0,152.14
DGN0480,2,0,0,0,122.68
DGW0752,47,8,3,3,198.91
DHM0937,2,0,0,0,195.37
DIB0081,2,0,0,0,188.62
DIB0285,2,0,0,0,202.86
DIC0988,3,0,0,0,91.13
DID0650,3,0,0,0,125.06
DIW0118,7,0,2,0,253.4
DJB0159,2,0,0,0,117.42
