user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,6,0
AAF0535,3,6,3
AAF0791,1,9,2
AAL0706,2,5,1
AAM0658,1,3,2
AAN0823,2,3,0
AAS0442,1,8,1
AAV0450,3,8,2
AAW0353,1,5,1
ABC0174,0,5,1
ABC0253,1,5,1
ABH0663,0,6,3
ABM0845,0,4,1
ABN0239,0,8,3
ACC0042,0,8,1
ACV0812,0,8,1
ADC0391,0,3,2
ADD0846,8,44,40
ADF0397,1,5,1
AES0827,1,6,1
AGB0186,1,8,3
AGB0643,1,6,0
AHC0142,1,2,1
AHD0848,0,2,1
AHG0634,0,8,1
AHM0410,1,5,1
AIB0948,1,6,1
AIH0675,0,3,1
AIM0627,1,2,1
AIP0394,0,7,1
AIP0982,1,5,1
AIS0405,1,7,2
AJC0840,9,61,57
AJD0074,1,6,0
AJF0370,1,4,0
AJH0175,0,4,2
AJL0462,1,7,1
AJN0607,1,7,1
AJP0723,0,3,1
AJR0319,1,5,2
AJR0932,0,6,1
AKC0924,1,1,0
AKF0709,1,2,1
AKH0758,0,8,3
AKK0329,1,4,1
AKR0057,1,8,1
AKW0167,0,6,2
ALB0892,1,9,5
ALC0788,1,6,4
ALD0529,0,4,1
ALD0544,1,4,1
ALH0402,0,5,1
AMD0077,1,8,2
AMH0464,0,3,2
AMH0794,0,8,5
AMJ0297,1,2,1
AMM0014,2,10,6
AMR0318,1,8,1
AMR0400,0,7,1
AMV0036,0,10,3
AMW0392,0,6,1
ANM0123,11,49,43
ANP0555,15,38,31
ANT0430,0,2,1
AOB0019,2,5,1
AOK0844,1,7,1
AOS0987,3,8,4
APG0307,1,6,1
AQD0820,0,9,2
ARA0252,9,38,33
ARB0834,1,8,1
ARB0881,1,5,1
ARD0509,0,11,5
ARL0034,0,3,1
ASB0796,1,5,0
ASD0577,0,4,0
ASG0048,1,7,0
ASG0692,0,3,1
ASL0378,0,7,0
ASM0575,1,8,1
ASS0206,2,6,1
ASS0517,0,2,1
ASV0946,0,6,1
ATE0869,3,9,3
ATF0274,0,3,0
ATP0662,0,9,2
AVM0947,1,7,2
AWM0764,1,2,1
BAH0875,1,7,1
BAJ0654,0,7,0
BAK0964,1,6,1
BAL0044,0,8,1
BAM0611,2,11,5
BAM0636,1,8,2
BBG0325,1,7,4
BBH0810,2,4,1
BBS0039,0,1,0
BBS0422,1,7,1
BCB0679,0,8,1
BCM0653,2,6,0
BCR0581,0,8,1
BDB0453,1,5,1
BDI0533,1,5,1
BDV0168,0,9,3
BEC0505,1,5,1
BEH0615,0,7,1
BER0314,1,3,1
BHC0665,2,9,2
BHW0458,1,6,5
BIH0745,2,4,3
BIS0247,1,8,1
BJH0354,4,7,1
BJH0811,1,4,0
BJM0111,0,3,0
BJP0134,0,2,0
BJW0619,0,4,1
BKW0374,1,8,1
BLB0114,0,2,1
BLL0929,1,8,1
BLS0678,3,8,1
BMC0547,1,5,1
BMG0917,1,5,2
BMM0112,0,7,0
BMS0877,1,7,0
BMT0528,10,36,33
BNG0237,1,8,1
BNR0965,1,1,0
BQS0525,1,7,2
BRB0355,1,4,2
BRM0995,0,1,0
BRS0734,5,46,40
BSA0431,4,40,38
BSB0990,0,7,0
BSH0445,0,8,2
BSS0369,1,7,1
BSS0463,2,7,1
BTL0226,1,7,0
BTL0722,1,8,2
BTN0061,0,2,1
BTR0403,1,3,2
BTS0011,0,8,2
BTW0005,1,8,1
BVC0790,0,4,1
BVN0514,1,2,0
BWH0813,16,53,47
BWP0202,1,2,1
BXJ0010,0,3,0
BYP0070,0,8,1
CAA0612,1,8,1
CAB0388,1,3,0
CAB0614,2,6,0
CAC0889,2,7,6
CAH0936,1,3,1
CAM0102,0,4,1
CAM0681,7,59,53
CAN0842,0,4,1
CAS0507,1,6,1
CBB0365,0,11,4
CBG0398,1,4,1
CBG0490,1,4,1
CCA0046,1,6,1
CCC0393,0,8,2
CCH0182,2,4,3
CCH0685,1,1,0
CCL0068,1,2,1
CCM0136,1,2,1
CCM0467,1,7,3
CCM0855,1,6,2
CCR0863,1,4,1
CCW0031,0,8,3
CCW0524,1,2,1
CEB0210,1,4,1
CEJ0109,0,2,0
CEL0561,1,4,1
CFG0959,1,7,1
CFM0767,0,5,0
CFW0264,0,8,1
CGA0629,1,6,1
CGB0637,0,2,1
CGF0337,0,3,1
CHG0146,2,6,1
CHM0821,1,5,0
CIG0052,0,4,1
CIM0271,2,5,1
CIM0926,1,7,1
CJC0494,0,5,1
CJF0802,1,2,1
CJG0470,1,8,1
CJH0702,1,7,1
CJK0200,1,8,1
CJM0138,0,10,3
CJM0521,0,2,1
CJP0952,1,3,0
CJV0286,1,8,1
CKB0427,2,6,2
CKB0482,2,6,1
CKD0680,0,7,4
CKH0144,1,8,1
CKP0721,0,4,0
CLB0774,1,9,5
CLD0894,0,3,0
CLF0852,0,6,2
CLH0703,0,6,2
CLS0296,2,9,4
CMB0912,1,2,1
CMM0487,3,5,1
CMS0454,1,4,1
CMW0783,1,7,2
CNB0900,1,4,1
CNE0352,1,2,1
CNM0800,1,3,1
COF0120,19,42,35
COM0321,1,5,0
CPG0322,1,7,0
CQH0701,1,8,2
CQH0730,1,5,4
CQW0652,1,2,0
CRD0624,1,5,1
CRK0916,0,6,1
CRO0027,1,5,1
CRP0456,1,4,1
CSB0080,0,5,1
CSC0217,1,2,1
CSH0626,0,7,2
CSJ0340,1,6,1
CSL0949,1,8,2
CSP0197,0,6,0
CTA0020,8,34,30
CTR0341,1,3,1
CTR0697,1,9,2
CTW0500,1,2,1
CUD0795,1,8,1
CWB0065,4,7,2
CWR0502,4,10,4
CXC0336,10,64,58
CYA0506,0,6,5
DAG0558,1,7,1
DAL0673,1,4,0
DAR0885,1,4,1
DBB0384,0,2,1
DBG0261,4,51,44
DBS0235,0,8,2
DBW0483,0,2,0
DCC0160,7,60,55
DCH0843,1,7,2
DDA0476,0,4,1
DDM0579,1,4,1
DEB0782,0,5,1
DFH0188,1,8,1
DFR0218,0,3,1
DGF0443,11,69,63
DGM0754,0,9,2
DGN0480,0,5,2
DGW0752,18,69,62
DHM0937,1,5,1
DIB0081,1,4,1
DIB0285,0,3,1
DIC0988,1,7,2
DID0650,0,6,3
DIW0118,1,10,5
DJB0159,1,6,1
DJS0682,11,50,49
DKB0631,1,5,2
DLF0377,12,67,63
DLH0029,11,59,52
DLM0051,0,4,1
DLS0383,0,5,0
DMG0358,0,10,4
DMK0257,1,10,5
DMM0623,1,3,1
DOL0332,0,7,2
DOP0562,1,5,1
DPM0423,3,5,1
DPS0262,15,48,45
DRR0162,12,40,35
DRR0242,1,3,0
DSB0731,5,30,24
DSM0591,1,13,6
DTP0379,1,3,0
DTT0076,1,4,2
DVM0265,0,5,1
DVW0103,1,3,2
DZC0228,1,5,1
EAH0466,1,8,1
EBC0390,7,50,44
ECF0828,1,4,1
ECL0930,1,2,1
ECR0822,0,8,1
EDA0684,0,7,1
EDB0714,0,7,1
EFS0882,1,4,0
EGD0132,7,64,58
EGD0409,5,7,2
EGK0893,0,2,1
EHB0420,14,24,19
EHB0824,0,2,0
EHD0584,1,7,1
EHR0096,0,4,1
EIM0156,0,3,2
EIP0997,0,8,4
EIS0041,0,6,2
EJW0884,0,4,1
ELB0847,0,4,1
