user,total_emails,external_emails,attachments_sent,bcc_in_email,avg_email_size
AAE0190,5,1,0,0,149.9
AAF0535,4,0,0,0,291.37
AAF0791,2,0,0,0,106.85
AAL0706,2,0,0,0,68.26
AAM0658,3,0,0,0,294.51
AAN0823,2,0,0,0,291.9
AAS0442,5,0,0,0,162.67
AAV0450,4,0,0,0,166.61
AAW0353,2,0,0,0,98.97
ABC0174,2,0,0,0,135.68
ABC0253,2,0,0,0,231.13
ABH0663,3,0,0,0,142.91
ABM0845,2,0,0,0,210.5
ABN0239,2,0,0,0,157.16
ACC0042,2,0,0,0,141.36
ACV0812,3,0,0,0,219.33
ADC0391,2,0,0,0,206.22
ADD0846,33,7,3,2,287.71
ADF0397,2,0,0,0,95.7
AES0827,2,0,0,0,180.39
AGB0186,4,0,0,0,221.77
AGB0643,2,0,0,0,251.82
AHC0142,2,0,0,0,235.13
AHD0848,2,0,0,0,279.09
AHG0634,2,0,0,0,97.18
AHM0410,2,0,0,0,218.34
AIB0948,4,0,1,0,211.39
AIH0675,2,0,0,0,261.62
AIM0627,3,0,0,0,85.7
AIP0394,2,0,0,0,92.2
AIP0982,3,0,0,0,87.92
AIS0405,2,0,0,0,297.44
AJC0840,69,4,5,3,277.53
AJD0074,2,0,0,0,294.15
AJF0370,2,0,0,0,168.18
AJH0175,2,0,0,0,55.31
AJL0462,2,0,0,0,66.97
AJN0607,2,0,0,0,196.89
AJP0723,2,0,0,0,213.6
AJR0319,4,0,0,0,186.13
AJR0932,2,0,0,0,59.17
AKC0924,2,0,0,0,158.28
AKF0709,2,0,0,0,259.68
AKH0758,4,0,0,0,147.83
AKK0329,2,0,0,0,273.36
AKR0057,4,0,1,0,199.5
AKW0167,3,0,0,0,251.88
ALB0892,4,0,1,0,72.85
ALC0788,4,0,0,0,217.23
ALD0529,2,0,0,0,179.4
ALD0544,2,0,0,0,95.92
ALH0402,2,0,0,0,128.55
AMD0077,3,0,0,0,123.17
AMH0464,2,0,0,0,247.83
AMH0794,4,0,0,0,52.11
AMJ0297,2,0,0,0,71.82
AMM0014,3,0,0,0,114.64
AMR0318,2,0,0,0,172.03
AMR0400,2,0,0,0,232.77
AMV0036,5,0,0,0,127.39
AMW0392,2,0,0,0,130.1
ANM0123,46,10,3,3,55.53
ANP0555,33,3,3,2,136.19
ANT0430,2,0,0,0,180.89
AOB0019,4,0,0,0,78.39
AOK0844,2,0,0,0,80.64
AOS0987,3,0,0,0,251.33
APG0307,2,0,0,0,139.0
AQD0820,2,0,0,0,61.23
ARA0252,29,2,5,0,222.21
ARB0834,2,0,0,0,101.24
ARB0881,3,0,0,0,299.56
ARD0509,3,0,0,0,299.98
ARL0034,2,0,0,0,203.75
ASB0796,2,0,0,0,64.28
ASD0577,2,0,0,0,296.99
ASG0048,2,0,0,0,113.98
ASG0692,2,0,0,0,291.42
ASL0378,2,0,0,0,145.33
ASM0575,2,0,0,0,296.09
ASS0206,3,0,0,0,162.71
ASS0517,2,0,0,0,143.71
ASV0946,2,0,0,0,223.4
ATE0869,3,0,0,0,153.53
ATF0274,5,1,1,0,229.49
ATP0662,4,0,0,0,252.92
AVM0947,3,0,0,0,252.85
AWM0764,2,0,0,0,263.77
BAH0875,3,0,0,0,225.67
BAJ0654,3,0,0,0,269.29
BAK0964,2,0,0,0,232.16
BAL0044,2,0,0,0,274.31
BAM0611,5,0,1,0,85.75
BAM0636,3,0,0,0,82.29
BBG0325,4,0,0,0,260.82
BBH0810,2,0,0,0,100.34
BBS0039,2,0,0,0,291.87
BBS0422,3,0,0,0,288.07
BCB0679,2,0,0,0,129.07
BCM0653,3,0,0,0,96.93
BCR0581,2,0,0,0,167.17
BDB0453,2,0,0,0,53.69
BDI0533,2,0,0,0,88.68
BDV0168,2,0,0,0,195.0
BEC0505,2,0,0,0,249.99
BEH0615,2,0,0,0,174.02
BER0314,5,0,0,0,220.75
BHC0665,2,0,0,0,127.12
BHW0458,6,1,1,0,114.17
BIH0745,3,0,0,0,217.17
BIS0247,4,0,0,0,66.37
BJH0354,5,0,1,0,241.11
BJH0811,2,0,0,0,214.61
BJM0111,2,0,0,0,87.11
BJP0134,2,0,0,0,116.8
BJW0619,2,0,0,0,131.8
BKW0374,3,0,0,0,110.44
BLB0114,3,0,0,0,291.02
BLL0929,2,0,0,0,97.27
BLS0678,3,0,0,0,86.61
BMC0547,2,0,0,0,208.38
BMG0917,3,0,0,0,125.28
BMM0112,5,1,0,0,131.45
BMS0877,3,0,0,0,84.81
BMT0528,40,4,8,1,153.6
BNG0237,2,0,0,0,233.03
BNR0965,2,0,0,0,169.69
BQS0525,3,0,0,0,88.96
BRB0355,3,0,0,0,109.99
BRM0995,2,0,0,0,294.0
BRS0734,34,5,2,2,65.52
BSA0431,46,3,10,2,157.43
BSB0990,2,0,0,0,143.36
BSH0445,2,0,0,0,104.26
BSS0369,2,0,0,0,88.67
BSS0463,5,1,0,0,258.78
BTL0226,2,0,0,0,262.6
BTL0722,3,0,0,0,251.51
BTN0061,2,0,0,0,272.99
BTR0403,4,0,1,0,262.62
BTS0011,2,0,0,0,281.14
BTW0005,3,0,0,0,196.28
BVC0790,4,0,1,0,99.87
BVN0514,2,0,0,0,163.74
BWH0813,64,9,4,2,253.91
BWP0202,2,0,0,0,209.1
BXJ0010,3,0,0,0,173.98
BYP0070,2,0,0,0,54.54
CAA0612,2,0,0,0,127.7
CAB0388,2,0,0,0,292.34
CAB0614,2,0,0,0,221.34
CAC0889,4,0,0,0,237.06
CAH0936,2,0,0,0,293.33
CAM0102,4,0,0,0,167.42
CAM0681,90,18,8,6,261.08
CAN0842,2,0,0,0,128.53
CAS0507,3,0,0,0,139.58
CBB0365,5,0,1,0,250.28
CBG0398,2,0,0,0,141.82
CBG0490,5,0,0,0,172.24
CCA0046,2,0,0,0,102.55
CCC0393,5,0,0,0,50.36
CCH0182,4,0,0,0,257.74
CCH0685,4,0,0,0,204.99
CCL0068,2,0,0,0,210.09
CCM0136,5,1,0,0,263.66
CCM0467,3,0,0,0,73.94
CCM0855,3,0,0,0,193.34
CCR0863,4,0,0,0,187.38
CCW0031,6,1,0,0,177.74
CCW0524,2,0,0,0,293.79
CEB0210,4,0,0,0,179.01
CEJ0109,2,0,0,0,238.93
CEL0561,4,0,0,0,241.32
CFG0959,4,0,0,0,259.08
CFM0767,2,0,0,0,90.47
CFW0264,2,0,0,0,80.25
CGA0629,4,0,0,0,269.13
CGB0637,2,0,0,0,57.29
CGF0337,2,0,0,0,63.31
CHG0146,3,0,0,0,280.12
CHM0821,2,0,0,0,258.29
CIG0052,3,0,0,0,139.52
CIM0271,3,0,0,0,254.12
