user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,4,0
AAF0535,1,7,1
AAF0791,1,3,1
AAL0706,1,7,1
AAM0658,1,9,2
AAN0823,2,1,0
AAS0442,1,8,1
AAV0450,2,4,1
AAW0353,1,7,1
ABC0174,0,3,1
ABC0253,1,2,1
ABH0663,0,6,3
ABM0845,0,3,1
ABN0239,0,6,2
ACC0042,1,3,2
ACV0812,0,4,1
ADC0391,0,7,2
ADD0846,13,55,51
ADF0397,1,2,1
AES0827,1,9,2
AGB0186,1,8,3
AGB0643,1,4,0
AHC0142,1,5,1
AHD0848,0,4,1
AHG0634,0,4,1
AHM0410,1,2,1
AIB0948,1,5,1
AIH0675,0,7,1
AIM0627,1,5,1
AIP0394,0,5,2
AIP0982,1,2,1
AIS0405,1,8,1
AJC0840,6,56,53
AJD0074,1,3,0
AJF0370,1,3,0
AJH0175,1,10,4
AJL0462,1,8,2
AJN0607,1,8,1
AJP0723,0,5,1
AJR0319,1,5,2
AJR0932,0,5,1
AKC0924,1,3,0
AKF0709,1,2,1
AKH0758,0,7,3
AKK0329,1,7,2
AKR0057,1,6,1
AKW0167,0,5,1
ALB0892,1,7,4
ALC0788,1,7,3
ALD0529,0,8,2
ALD0544,1,5,1
ALH0402,0,3,1
AMD0077,1,8,2
AMH0464,0,5,1
AMH0794,0,5,4
AMJ0297,1,7,1
AMM0014,1,6,3
AMR0318,1,6,1
AMR0400,0,6,1
AMV0036,0,8,5
AMW0392,1,3,2
ANM0123,14,52,46
ANP0555,15,32,26
ANT0430,0,4,1
AOB0019,3,7,2
AOK0844,1,5,1
AOS0987,1,9,2
APG0307,1,8,1
AQD0820,0,5,2
ARA0252,8,36,33
ARB0834,1,2,1
ARB0881,1,8,1
ARD0509,0,10,3
ARL0034,0,5,1
ASB0796,1,3,0
ASD0577,0,2,0
ASG0048,1,6,0
ASG0692,0,3,1
ASL0378,0,4,0
ASM0575,1,8,1
ASS0206,2,4,1
ASS0517,0,7,1
ASV0946,1,9,2
ATE0869,1,6,1
ATF0274,0,2,0
ATP0662,0,2,1
AVM0947,1,6,2
AWM0764,1,5,1
BAH0875,1,7,1
BAJ0654,0,2,0
BAK0964,1,8,1
BAL0044,0,7,1
BAM0611,1,11,4
BAM0636,1,8,2
BBG0325,1,10,4
BBH0810,1,5,1
BBS0039,0,5,0
BBS0422,1,8,1
BCB0679,0,8,1
BCM0653,1,5,0
BCR0581,0,8,1
BDB0453,1,7,1
BDI0533,2,5,3
BDV0168,0,4,2
BEC0505,1,7,1
BEH0615,0,3,1
BER0314,1,6,1
BHC0665,1,4,1
BHW0458,1,7,4
BIH0745,1,6,2
BIS0247,1,4,1
BJH0354,6,5,2
BJH0811,1,5,0
BJM0111,0,5,0
BJP0134,0,7,0
BJW0619,0,4,1
BKW0374,1,2,1
BLB0114,0,5,1
BLL0929,1,8,1
BLS0678,2,3,1
BMC0547,1,8,1
BMG0917,1,3,2
BMM0112,1,5,1
BMS0877,1,1,0
BMT0528,11,41,34
BNG0237,1,5,1
BNR0965,1,7,0
BQS0525,1,9,2
BRB0355,1,6,3
BRM0995,0,4,0
BRS0734,4,55,48
BSA0431,5,47,43
BSB0990,0,4,0
BSH0445,0,8,2
BSS0369,1,2,1
BSS0463,2,8,1
BTL0226,1,1,0
BTL0722,1,3,2
BTN0061,0,8,1
BTR0403,0,5,1
BTS0011,0,7,1
BTW0005,1,5,1
BVC0790,0,3,2
BVN0514,1,7,0
BWH0813,13,51,46
BWP0202,1,2,1
BXJ0010,0,5,0
BYP0070,0,5,1
CAA0612,3,4,2
CAB0388,1,7,0
CAB0614,3,7,0
CAC0889,1,12,5
CAH0936,1,3,1
CAM0102,0,5,1
CAM0681,6,75,69
CAN0842,0,5,1
CAS0507,1,8,1
CBB0365,0,5,3
CBG0398,1,6,1
CBG0490,1,2,1
CCA0046,1,5,1
CCC0393,0,5,2
CCH0182,1,7,2
CCH0685,3,6,1
CCL0068,1,2,1
CCM0136,1,7,1
CCM0467,1,6,2
CCM0855,1,5,2
CCR0863,1,5,1
CCW0031,0,7,4
CCW0524,1,6,1
CEB0210,1,7,2
CEJ0109,0,6,0
CEL0561,1,5,1
CFG0959,1,5,1
CFM0767,0,1,0
CFW0264,0,3,1
CGA0629,1,2,1
CGB0637,0,6,1
CGF0337,0,6,1
CHG0146,2,2,1
CHM0821,1,1,0
CIG0052,0,4,1
CIM0271,2,2,1
CIM0926,1,3,1
CJC0494,0,8,1
CJF0802,1,6,1
CJG0470,1,2,1
CJH0702,1,2,1
CJK0200,1,4,1
CJM0138,0,6,4
CJM0521,0,4,2
CJP0952,1,4,0
CJV0286,1,5,1
CKB0427,2,9,2
CKB0482,3,3,2
CKD0680,1,7,6
CKH0144,1,2,1
CKP0721,0,2,0
CLB0774,1,11,6
CLD0894,0,6,0
CLF0852,0,8,1
CLH0703,0,8,2
CLS0296,2,5,4
CMB0912,1,7,1
CMM0487,1,3,0
CMS0454,1,5,1
CMW0783,1,7,2
CNB0900,1,2,1
CNE0352,1,2,1
CNM0800,1,7,1
COF0120,18,38,35
COM0321,1,1,0
CPG0322,1,2,0
CQH0701,1,5,2
CQH0730,1,9,3
CQW0652,1,3,0
CRD0624,2,5,2
CRK0916,0,2,1
CRO0027,1,7,1
CRP0456,2,3,2
CSB0080,0,7,1
CSC0217,1,6,1
CSH0626,0,8,2
CSJ0340,1,6,1
CSL0949,1,5,1
CSP0197,0,6,0
CTA0020,9,38,31
CTR0341,1,2,1
CTR0697,0,2,1
CTW0500,1,3,1
CUD0795,1,3,1
CWB0065,5,10,3
CWR0502,3,8,3
CXC0336,12,67,64
CYA0506,0,6,3
DAG0558,1,2,1
DAL0673,1,4,0
DAR0885,1,8,1
DBB0384,0,8,1
DBG0261,5,59,57
DBS0235,0,8,2
DBW0483,0,7,0
DCC0160,8,61,59
DCH0843,1,9,2
DDA0476,0,7,1
DDM0579,1,5,1
DEB0782,0,7,1
DFH0188,2,6,2
DFR0218,0,8,1
DGF0443,9,70,68
DGM0754,0,6,1
DGN0480,0,7,3
DGW0752,15,57,52
DHM0937,1,5,1
DIB0081,1,7,1
DIB0285,0,4,1
DIC0988,1,7,3
DID0650,0,9,5
DIW0118,3,10,9
DJB0159,1,8,1
DJS0682,10,45,41
DKB0631,1,7,2
DLF0377,14,57,50
DLH0029,10,51,46
DLM0051,0,2,1
DLS0383,0,7,0
