user,total_emails,external_emails,attachments_sent,bcc_in_email,avg_email_size
AAE0190,2,0,0,0,199.38
AAF0535,3,0,0,0,277.96
AAF0791,2,0,0,0,102.76
AAL0706,3,0,0,0,281.84
AAM0658,4,0,0,0,98.24
AAN0823,2,0,0,0,211.76
AAS0442,2,0,0,0,52.32
AAV0450,4,0,0,0,133.93
AAW0353,2,0,0,0,261.56
ABC0174,2,0,0,0,121.07
ABC0253,2,0,0,0,136.03
ABH0663,3,0,0,0,108.25
ABM0845,2,0,0,0,187.4
ABN0239,2,0,0,0,257.61
ACC0042,2,0,0,0,244.18
ACV0812,3,0,0,0,220.22
ADC0391,2,0,0,0,288.78
ADD0846,42,4,4,0,74.92
ADF0397,2,0,0,0,179.19
AES0827,2,0,0,0,216.06
AGB0186,4,0,0,0,198.13
AGB0643,5,0,0,0,141.91
AHC0142,5,0,0,0,166.82
AHD0848,4,0,0,0,237.01
AHG0634,2,0,0,0,95.76
AHM0410,2,0,0,0,62.95
AIB0948,3,0,0,0,169.14
AIH0675,4,0,0,0,257.54
AIM0627,3,0,0,0,99.77
AIP0394,2,0,0,0,184.36
AIP0982,4,0,0,0,194.09
AIS0405,4,0,0,0,125.5
AJC0840,44,7,9,2,97.31
AJD0074,2,0,0,0,225.04
AJF0370,2,0,0,0,270.98
AJH0175,2,0,0,0,189.59
AJL0462,2,0,0,0,240.82
AJN0607,2,0,0,0,291.05
AJP0723,2,0,0,0,168.86
AJR0319,3,0,0,0,232.11
AJR0932,2,0,0,0,122.43
AKC0924,2,0,0,0,131.74
AKF0709,4,0,1,0,238.05
AKH0758,2,0,0,0,55.57
AKK0329,3,0,0,0,266.3
AKR0057,2,0,0,0,165.33
AKW0167,3,0,0,0,78.3
ALB0892,4,0,0,0,237.59
ALC0788,4,0,1,0,94.74
ALD0529,2,0,0,0,94.33
ALD0544,2,0,0,0,53.59
ALH0402,2,0,0,0,93.66
AMD0077,3,0,0,0,148.67
AMH0464,2,0,0,0,299.55
AMH0794,4,0,0,0,101.18
AMJ0297,2,0,0,0,92.97
AMM0014,3,0,0,0,196.44
AMR0318,2,0,0,0,278.53
AMR0400,2,0,0,0,155.11
AMV0036,3,0,0,0,133.94
AMW0392,4,0,0,0,290.83
ANM0123,51,4,5,1,159.43
ANP0555,69,9,6,4,117.66
ANT0430,2,0,0,0,207.74
AOB0019,4,0,0,0,168.91
AOK0844,5,1,1,0,203.02
AOS0987,4,0,0,0,276.32
APG0307,2,0,0,0,93.84
AQD0820,2,0,0,0,236.79
ARA0252,55,3,16,3,127.33
ARB0834,2,0,0,0,229.48
ARB0881,3,0,0,0,83.9
ARD0509,3,0,0,0,172.14
ARL0034,2,0,0,0,108.86
ASB0796,2,0,0,0,122.15
ASD0577,2,0,0,0,279.55
ASG0048,2,0,0,0,107.75
ASG0692,2,0,0,0,145.63
ASL0378,2,0,0,0,297.5
ASM0575,2,0,0,0,116.84
ASS0206,4,0,0,0,247.33
ASS0517,4,0,0,0,50.27
ASV0946,4,0,0,0,119.45
ATE0869,3,0,0,0,231.36
ATF0274,2,0,0,0,299.14
ATP0662,2,0,0,0,86.49
AVM0947,3,0,0,0,241.29
AWM0764,2,0,0,0,219.69
BAH0875,5,0,0,0,257.24
BAJ0654,3,0,0,0,57.52
BAK0964,2,0,0,0,69.23
BAL0044,4,0,0,0,166.78
BAM0611,4,0,1,0,187.94
BAM0636,4,0,0,0,143.82
BBG0325,4,0,0,0,233.04
BBH0810,2,0,0,0,91.73
BBS0039,4,0,0,0,290.25
BBS0422,2,0,0,0,183.71
BCB0679,2,0,0,0,261.62
BCM0653,2,0,0,0,243.24
BCR0581,2,0,0,0,177.15
BDB0453,2,0,0,0,123.96
BDI0533,2,0,0,0,138.84
BDV0168,2,0,0,0,258.14
BEC0505,2,0,0,0,90.79
BEH0615,3,0,0,0,103.28
BER0314,2,0,0,0,179.85
BHC0665,2,0,0,0,137.18
BHW0458,5,0,1,0,297.24
BIH0745,4,0,0,0,100.69
BIS0247,2,0,0,0,142.7
BJH0354,3,0,0,0,237.12
BJH0811,2,0,0,0,145.54
BJM0111,2,0,0,0,155.98
BJP0134,3,0,0,0,85.7
BJW0619,2,0,0,0,108.16
BKW0374,2,0,0,0,177.19
BLB0114,2,0,0,0,299.29
BLL0929,2,0,0,0,249.91
BLS0678,3,0,0,0,240.81
BMC0547,2,0,0,0,262.05
BMG0917,3,0,0,0,242.71
BMM0112,2,0,0,0,118.58
BMS0877,2,0,0,0,164.19
BMT0528,54,12,2,1,218.8
BNG0237,2,0,0,0,184.06
BNR0965,4,0,0,0,86.67
BQS0525,3,0,0,0,240.45
BRB0355,6,1,0,0,261.16
BRM0995,2,0,0,0,60.43
BRS0734,34,2,9,0,84.73
BSA0431,45,9,5,1,80.2
BSB0990,2,0,0,0,241.11
BSH0445,2,0,0,0,168.93
BSS0369,2,0,0,0,109.4
BSS0463,3,0,0,0,202.95
BTL0226,2,0,0,0,291.18
BTL0722,4,0,0,0,244.72
BTN0061,2,0,0,0,163.82
BTR0403,2,0,0,0,94.68
BTS0011,2,0,0,0,71.71
BTW0005,4,0,0,0,133.27
BVC0790,2,0,0,0,77.3
BVN0514,2,0,0,0,86.21
BWH0813,67,16,14,2,292.21
BWP0202,2,0,0,0,200.81
BXJ0010,2,0,0,0,92.87
BYP0070,2,0,0,0,258.03
CAA0612,2,0,0,0,235.89
CAB0388,2,0,0,0,295.53
CAB0614,2,0,0,0,107.82
CAC0889,5,0,0,0,102.42
CAH0936,2,0,0,0,105.14
CAM0102,2,0,0,0,54.46
CAM0681,60,10,6,4,188.53
CAN0842,2,0,0,0,61.47
CAS0507,3,0,0,0,255.72
CBB0365,3,0,0,0,177.91
CBG0398,2,0,0,0,253.23
CBG0490,2,0,0,0,160.18
CCA0046,2,0,0,0,127.45
CCC0393,2,0,0,0,181.15
CCH0182,4,0,0,0,170.04
CCH0685,2,0,0,0,62.49
CCL0068,3,0,0,0,145.83
CCM0136,4,0,0,0,227.82
CCM0467,3,0,0,0,124.9
CCM0855,6,1,1,0,184.1
CCR0863,2,0,0,0,120.18
CCW0031,3,0,0,0,117.84
CCW0524,5,0,1,0,214.56
CEB0210,2,0,0,0,72.56
CEJ0109,2,0,0,0,114.82
CEL0561,2,0,0,0,206.34
CFG0959,2,0,0,0,284.77
CFM0767,2,0,0,0,249.05
CFW0264,2,0,0,0,233.92
CGA0629,2,0,0,0,222.99
CGB0637,2,0,0,0,219.73
CGF0337,2,0,0,0,68.9
CHG0146,4,0,0,0,285.49
CHM0821,2,0,0,0,266.53
CIG0052,2,0,0,0,238.04
CIM0271,3,0,0,0,254.7
CIM0926,2,0,0,0,159.59
CJC0494,4,0,0,0,270.7
CJF0802,3,0,0,0,295.77
CJG0470,3,0,0,0,70.06
CJH0702,2,0,0,0,79.73
CJK0200,3,0,0,0,106.58
CJM0138,4,0,0,0,115.53
CJM0521,2,0,0,0,212.76
CJP0952,4,0,0,0,101.7
CJV0286,2,0,0,0,265.69
