user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,7,0
AAF0535,1,3,1
AAF0791,1,7,1
AAL0706,1,7,1
AAM0658,1,9,2
AAN0823,2,2,0
AAS0442,1,2,1
AAV0450,3,3,2
AAW0353,1,2,1
ABC0174,0,2,1
ABC0253,1,6,1
ABH0663,0,10,4
ABM0845,0,2,1
ABN0239,0,8,2
ACC0042,0,3,1
ACV0812,0,5,1
ADC0391,0,3,2
ADD0846,8,45,41
ADF0397,1,3,1
AES0827,1,7,2
AGB0186,1,9,4
AGB0643,1,7,0
AHC0142,1,8,2
AHD0848,0,2,1
AHG0634,0,4,1
AHM0410,1,4,1
AIB0948,1,6,1
AIH0675,0,4,2
AIM0627,1,5,1
AIP0394,0,7,2
AIP0982,1,5,1
AIS0405,1,6,1
AJC0840,6,47,43
AJD0074,1,1,0
AJF0370,1,5,0
AJH0175,0,6,2
AJL0462,1,2,1
AJN0607,1,3,2
AJP0723,0,4,1
AJR0319,2,6,3
AJR0932,0,2,1
AKC0924,1,7,0
AKF0709,1,2,1
AKH0758,0,6,2
AKK0329,1,6,1
AKR0057,1,4,1
AKW0167,0,4,1
ALB0892,1,12,5
ALC0788,1,11,4
ALD0529,0,4,1
ALD0544,1,3,1
ALH0402,0,8,1
AMD0077,1,3,2
AMH0464,0,2,1
AMH0794,0,6,4
AMJ0297,1,5,1
AMM0014,1,6,3
AMR0318,1,8,1
AMR0400,0,5,1
AMV0036,0,6,4
AMW0392,0,3,1
ANM0123,12,61,58
ANP0555,16,33,29
ANT0430,0,6,1
AOB0019,2,7,1
AOK0844,1,7,2
AOS0987,1,7,2
APG0307,1,2,1
AQD0820,1,6,4
ARA0252,14,52,47
ARB0834,1,4,1
ARB0881,1,2,1
ARD0509,0,8,3
ARL0034,0,8,1
ASB0796,1,3,0
ASD0577,0,1,0
ASG0048,1,5,0
ASG0692,0,2,1
ASL0378,0,6,0
ASM0575,1,3,1
ASS0206,2,5,1
ASS0517,0,8,1
ASV0946,0,7,1
ATE0869,1,8,1
ATF0274,0,3,0
ATP0662,0,6,2
AVM0947,2,11,4
AWM0764,1,2,1
BAH0875,2,8,3
BAJ0654,0,4,0
BAK0964,1,4,1
BAL0044,0,8,1
BAM0611,1,8,4
BAM0636,1,4,3
BBG0325,1,12,7
BBH0810,1,2,1
BBS0039,0,6,0
BBS0422,1,5,1
BCB0679,0,6,1
BCM0653,1,5,0
BCR0581,0,2,1
BDB0453,1,4,1
BDI0533,1,4,1
BDV0168,0,10,3
BEC0505,1,2,1
BEH0615,0,6,1
BER0314,1,5,1
BHC0665,1,7,1
BHW0458,1,11,4
BIH0745,1,7,2
BIS0247,1,6,1
BJH0354,5,3,1
BJH0811,1,2,0
BJM0111,0,4,0
BJP0134,0,6,0
BJW0619,0,6,1
BKW0374,1,4,1
BLB0114,0,5,1
BLL0929,1,8,1
BLS0678,2,8,1
BMC0547,1,6,1
BMG0917,1,3,2
BMM0112,0,3,0
BMS0877,1,3,0
BMT0528,9,44,37
BNG0237,2,4,1
BNR0965,2,3,0
BQS0525,1,6,3
BRB0355,1,7,2
BRM0995,0,4,0
BRS0734,4,44,39
BSA0431,4,39,34
BSB0990,0,7,0
BSH0445,0,8,1
BSS0369,1,4,1
BSS0463,2,3,1
BTL0226,1,2,0
BTL0722,1,5,2
BTN0061,0,4,1
BTR0403,0,5,1
BTS0011,0,7,1
BTW0005,1,8,1
BVC0790,0,4,1
BVN0514,1,5,0
BWH0813,12,72,65
BWP0202,1,3,1
BXJ0010,0,7,0
BYP0070,0,2,1
CAA0612,3,6,2
CAB0388,1,7,0
CAB0614,2,7,0
CAC0889,1,9,4
CAH0936,1,2,1
CAM0102,0,8,1
CAM0681,7,57,55
CAN0842,0,7,1
CAS0507,1,6,1
CBB0365,0,12,5
CBG0398,1,2,1
CBG0490,1,4,1
CCA0046,1,2,1
CCC0393,0,5,2
CCH0182,2,7,3
CCH0685,1,5,0
CCL0068,2,3,1
CCM0136,1,2,1
